編號,機關構名稱,熱點名稱,熱點類別,縣市名稱,鄉鎮市區,地址,緯度,經度,cos緯度,sin緯度,cos經度,sin經度
1,新竹市政府,新竹市文化局圖書館鹽水分館,文教館所,新竹市,香山區,300新竹市香山區長興街262巷38號,24.750509,120.905147,0.908139455,0.418667805,-0.513618332,0.85801877
2,新竹市立體育場,新竹公園(體育館大廳),其他,新竹市,東區,300新竹市公園路295號,24.799645,120.979409,0.907780077,0.419446458,-0.514729992,0.85735234
3,新竹市立體育場,新竹公園(體育館內右側),其他,新竹市,東區,300新竹市公園路295號,24.799377,120.979313,0.907782039,0.419442212,-0.514728556,0.857353203
4,新竹市立體育場,新竹公園(體育館內左側),其他,新竹市,東區,300新竹市公園路295號,24.799767,120.978841,0.907779184,0.419448391,-0.514721493,0.857357443
5,新竹市政府,新竹市公車(50、51路[508-FT]),大眾運輸節點,新竹市,香山區,300新竹市香山區牛埔路391-411號,24.796951,120.9420786,0.907799798,0.419403774,-0.514171285,0.857687524
6,新竹市政府,新竹市公車(52、53路[KKA-3006]),大眾運輸節點,新竹市,香山區,300新竹市東區關東路256巷3號,24.7868668,121.0211728,0.9078736,0.419243993,-0.515354793,0.856976918
7,新竹市政府,新竹市公車(50、51路[510-FT]),大眾運輸節點,新竹市,香山區,300新竹市香山區牛埔路391-411號,24.796951,120.9420786,0.907799798,0.419403774,-0.514171285,0.857687524
8,新竹市政府,新竹市公車(52、53路[KKA-3002]),大眾運輸節點,新竹市,東區,300新竹市東區關東路256巷3號,24.7868668,121.0211728,0.9078736,0.419243993,-0.515354793,0.856976918
9,新竹市政府,新竹市公車(52、53路[KKA-3003]),大眾運輸節點,新竹市,東區,300新竹市東區關東路256巷3號,24.7868668,121.0211728,0.9078736,0.419243993,-0.515354793,0.856976918
10,新竹市政府,新竹市公車(52、53路[507-FT]),大眾運輸節點,新竹市,東區,300新竹市東區關東路256巷3號,24.7868668,121.0211728,0.9078736,0.419243993,-0.515354793,0.856976918
11,新竹市政府,新竹市公車(52、53路[KKA-3007]),大眾運輸節點,新竹市,東區,300新竹市東區關東路256巷3號,24.7868668,121.0211728,0.9078736,0.419243993,-0.515354793,0.856976918
12,新竹市政府,新竹市公車(苗栗客運-綠線[812-U7]),大眾運輸節點,新竹市,東區,300新竹市東區中正路1號,24.8025697,120.9713302,0.907758665,0.419492796,-0.514609099,0.857424909
13,新竹市政府,新竹市公車(苗栗客運-綠線[819-U7]),大眾運輸節點,新竹市,東區,300新竹市東區中正路1號,24.8025697,120.9713302,0.907758665,0.419492796,-0.514609099,0.857424909
14,新竹市政府,新竹市公車(苗栗客運-綠線[821-U7]),大眾運輸節點,新竹市,東區,300新竹市東區中正路1號,24.8025697,120.9713302,0.907758665,0.419492796,-0.514609099,0.857424909
15,新竹市政府,新竹市公車(苗栗客運-綠線[810-U7]),大眾運輸節點,新竹市,東區,300新竹市東區中正路1號,24.8025697,120.9713302,0.907758665,0.419492796,-0.514609099,0.857424909
16,新竹市政府,新竹市公車(苗栗客運-綠線[809-U7]),大眾運輸節點,新竹市,東區,300新竹市東區中正路1號,24.8025697,120.9713302,0.907758665,0.419492796,-0.514609099,0.857424909
17,新竹市政府,新竹市公車(苗栗客運-綠線[813-U7]),大眾運輸節點,新竹市,東區,300新竹市東區中正路1號,24.8025697,120.9713302,0.907758665,0.419492796,-0.514609099,0.857424909
18,新竹市政府,新竹市公車(1路[097-FN]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.8031808,120.9720543,0.907754191,0.419502477,-0.514619935,0.857418406
19,新竹市政府,新竹市公車(1路[098-FN]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.8031808,120.9720543,0.907754191,0.419502477,-0.514619935,0.857418406
20,新竹市政府,新竹市公車(1路[100-FN]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.8031808,120.9720543,0.907754191,0.419502477,-0.514619935,0.857418406
